Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
4200.80723	0.42088	0.90295	1.4442	0.88392	2.40345	0.50698	1.92536	3.36477	1.67703	0.24278
4198.87848	0.42126	0.9006	1.43743	0.88234	2.40046	0.50815	1.91866	3.35464	1.66685	0.23967
4196.94974	0.42001	0.9029	1.43725	0.8891	2.40138	0.51324	1.91889	3.34989	1.66483	0.23581
4195.02099	0.41881	0.91047	1.4442	0.89801	2.41341	0.51745	1.92887	3.36387	1.67379	0.23716
4193.09225	0.42108	0.91516	1.4516	0.89893	2.42981	0.51475	1.94177	3.38587	1.68608	0.24341
4191.1635	0.42408	0.91549	1.45562	0.89336	2.43756	0.50592	1.94803	3.39525	1.69212	0.24767
4189.23476	0.42357	0.91885	1.45919	0.89255	2.4381	0.50085	1.94766	3.39854	1.69177	0.24671
4187.30601	0.42059	0.92351	1.46395	0.89925	2.43767	0.50398	1.9466	3.40502	1.69196	0.24531
4185.37727	0.41937	0.92424	1.46771	0.90497	2.44065	0.50757	1.94944	3.41286	1.6982	0.24632
4183.44852	0.42488	0.92658	1.4753	0.90999	2.45447	0.50647	1.95907	3.43198	1.71058	0.24827
4181.51978	0.43436	0.93354	1.48708	0.91826	2.47327	0.506	1.96992	3.45513	1.7214	0.2508
4179.59103	0.43801	0.936	1.48898	0.91962	2.47638	0.51068	1.97012	3.45298	1.72039	0.25144
4177.66229	0.43805	0.93274	1.48052	0.91125	2.46671	0.51548	1.96495	3.43537	1.71068	0.24781
4175.73354	0.44245	0.93171	1.4776	0.90613	2.46945	0.5158	1.96943	3.43636	1.70609	0.24386
4173.8048	0.44664	0.93392	1.48286	0.90866	2.48537	0.51404	1.98004	3.45353	1.7107	0.24335
4171.87605	0.44305	0.93513	1.48675	0.91165	2.49556	0.51182	1.9852	3.466	1.71696	0.24493
4169.94731	0.43662	0.93421	1.48777	0.91089	2.49829	0.51028	1.98556	3.47273	1.72216	0.24679
4168.01856	0.43735	0.93408	1.49077	0.90857	2.5022	0.51274	1.98656	3.47957	1.72915	0.24861
4166.08981	0.44326	0.93761	1.49791	0.91036	2.51353	0.52014	1.99292	3.49048	1.73769	0.25193
4164.16107	0.44558	0.94202	1.50671	0.91694	2.52741	0.52853	2.00413	3.50471	1.74331	0.25662
4162.23232	0.44345	0.94077	1.5099	0.91919	2.52643	0.53217	2.00886	3.50793	1.7411	0.25807
4160.30358	0.44124	0.93902	1.50826	0.91743	2.51972	0.53026	2.00773	3.50542	1.73805	0.25573
4158.37483	0.43942	0.94421	1.50974	0.92055	2.52603	0.52725	2.01199	3.51265	1.74026	0.25235
4156.44609	0.43688	0.94957	1.51288	0.92424	2.53322	0.5256	2.01943	3.5182	1.7424	0.24852
4154.51734	0.43589	0.95027	1.51273	0.92211	2.53205	0.5244	2.02249	3.51716	1.74506	0.24694
4152.5886	0.43707	0.94875	1.51266	0.92009	2.5309	0.52587	2.02028	3.52109	1.7485	0.24974
4150.65985	0.43916	0.94942	1.51772	0.92582	2.53742	0.53278	2.02161	3.53493	1.75141	0.25346
4148.73111	0.44206	0.95427	1.5221	0.93459	2.54939	0.5384	2.03091	3.55032	1.75654	0.25479
4146.80236	0.44557	0.95641	1.51732	0.93457	2.55217	0.53583	2.03391	3.54984	1.75751	0.25421
4144.87362	0.45159	0.95332	1.50975	0.92722	2.54561	0.53167	2.02618	3.53784	1.75076	0.25153
4142.94487	0.45736	0.95159	1.51031	0.9217	2.54604	0.53247	2.02313	3.53552	1.74606	0.24831
4141.01613	0.45443	0.95466	1.51668	0.92074	2.55677	0.53427	2.03008	3.54621	1.74881	0.24938
4139.08738	0.4463	0.95917	1.52016	0.92368	2.56834	0.53409	2.03989	3.55786	1.75552	0.25322
4137.15864	0.44478	0.96069	1.52186	0.92607	2.57345	0.53276	2.04683	3.56259	1.76315	0.25364
4135.22989	0.45049	0.96054	1.52624	0.92342	2.57384	0.53217	2.04664	3.56278	1.76881	0.25244
4133.30115	0.45554	0.96134	1.52781	0.91727	2.57182	0.53468	2.03979	3.5575	1.76745	0.25455
4131.3724	0.45452	0.96315	1.52425	0.91381	2.56823	0.53742	2.03725	3.54815	1.76237	0.25803
4129.44365	0.4503	0.96769	1.52402	0.91812	2.57102	0.53817	2.0479	3.55193	1.76371	0.25815
4127.51491	0.44919	0.97299	1.52967	0.92416	2.58024	0.53936	2.06085	3.57084	1.76848	0.25261
4125.58616	0.45048	0.9739	1.53632	0.92454	2.58696	0.54057	2.06287	3.58662	1.76747	0.24509
4123.65742	0.45202	0.9734	1.5424	0.92234	2.59065	0.53999	2.06042	3.59549	1.76583	0.24323
4121.72867	0.45477	0.97537	1.54803	0.92148	2.59339	0.53939	2.06107	3.60056	1.77076	0.24809
4119.79993	0.45688	0.98013	1.55637	0.92606	2.60196	0.54347	2.06753	3.60721	1.78197	0.25616
4117.87118	0.45658	0.98784	1.56999	0.93664	2.62416	0.55159	2.08557	3.62876	1.79795	0.26542
4115.94244	0.45476	0.99237	1.58068	0.94498	2.64802	0.55687	2.10792	3.6567	1.81004	0.27165
4114.01369	0.4535	0.99056	1.58137	0.94867	2.65547	0.55692	2.11756	3.66839	1.80868	0.27038
4112.08495	0.45577	0.98842	1.57517	0.9496	2.64833	0.55339	2.11307	3.66444	1.79856	0.26237
4110.1562	0.46092	0.98866	1.56735	0.94594	2.64108	0.5487	2.10787	3.65687	1.79239	0.25325
4108.22746	0.46446	0.98902	1.56407	0.94138	2.63984	0.54703	2.1081	3.65028	1.797	0.24914
4106.29871	0.46374	0.98989	1.56742	0.9429	2.64019	0.55008	2.10817	3.64999	1.80868	0.25131
4104.36997	0.46004	0.99404	1.57152	0.95053	2.64023	0.55501	2.10569	3.65726	1.81866	0.2572
4102.44122	0.45962	0.99821	1.57052	0.95628	2.64146	0.5568	2.10382	3.66201	1.82013	0.26202
4100.51248	0.46609	0.99927	1.56607	0.952	2.64376	0.55351	2.10462	3.66177	1.81435	0.26229
4098.58373	0.47158	1.00084	1.56615	0.94198	2.64841	0.55039	2.11001	3.6673	1.81133	0.26122
4096.65498	0.47078	1.00509	1.57396	0.93748	2.66092	0.55342	2.12242	3.68543	1.81763	0.26212
4094.72624	0.47115	1.01167	1.58334	0.94016	2.68197	0.55987	2.14028	3.71062	1.8275	0.26201
4092.79749	0.47708	1.01328	1.58589	0.94406	2.69349	0.56192	2.14835	3.72138	1.82903	0.25924
4090.86875	0.48087	1.00478	1.57934	0.94439	2.68124	0.55932	2.13345	3.70419	1.81955	0.25829
4088.94	0.47843	1.00082	1.57647	0.94218	2.66916	0.55889	2.11868	3.6902	1.81444	0.26105
4087.01126	0.47596	1.00952	1.58925	0.94186	2.68313	0.56108	2.12974	3.70839	1.8246	0.26255
4085.08251	0.47396	1.01819	1.60563	0.9434	2.706	0.56033	2.14892	3.73166	1.83773	0.25963
4083.15377	0.47041	1.02079	1.61023	0.94671	2.71402	0.55681	2.15424	3.73507	1.84211	0.25589
4081.22502	0.47264	1.01897	1.60553	0.9538	2.70774	0.55343	2.14909	3.72859	1.83983	0.25477
4079.29628	0.48148	1.01222	1.59783	0.96173	2.69203	0.55063	2.13929	3.71704	1.83373	0.25593
4077.36753	0.48569	1.00778	1.59298	0.96604	2.68205	0.55197	2.13578	3.70936	1.83071	0.25859
4075.43879	0.47972	1.01014	1.59664	0.96428	2.69129	0.55831	2.14687	3.71561	1.83447	0.25982
4073.51004	0.47106	1.01177	1.60211	0.9572	2.70279	0.56349	2.16088	3.72509	1.83628	0.25688
4071.5813	0.46879	1.00938	1.59933	0.95154	2.70141	0.56474	2.16503	3.72799	1.83354	0.25414
4069.65255	0.47187	1.00858	1.59589	0.95428	2.70061	0.56447	2.16245	3.72909	1.83471	0.25591
4067.72381	0.47623	1.01221	1.60185	0.9651	2.71313	0.56558	2.16348	3.73776	1.84373	0.25856
4065.79506	0.4799	1.01515	1.6103	0.97226	2.72678	0.56921	2.16763	3.75178	1.85265	0.25682
4063.86631	0.48025	1.0138	1.61394	0.96718	2.72687	0.57181	2.16791	3.76118	1.85305	0.25285
4061.93757	0.4794	1.01517	1.61685	0.96257	2.7286	0.57124	2.16947	3.77281	1.85255	0.25268
4060.00882	0.48226	1.02441	1.62358	0.9692	2.74644	0.57025	2.17908	3.79601	1.86075	0.25622
4058.08008	0.48615	1.03314	1.63104	0.97551	2.75895	0.56856	2.18945	3.81146	1.86844	0.2596
4056.15133	0.48501	1.03289	1.62968	0.97066	2.746	0.5641	2.18697	3.79453	1.86165	0.25958
4054.22259	0.48258	1.02995	1.62037	0.96195	2.72599	0.56027	2.17591	3.76487	1.84824	0.25639
4052.29384	0.48387	1.03316	1.61826	0.96117	2.72459	0.56091	2.17578	3.76083	1.84744	0.25599
4050.3651	0.48468	1.03783	1.62337	0.96646	2.73662	0.56459	2.18593	3.77825	1.85593	0.25986
4048.43635	0.48431	1.03713	1.62255	0.96623	2.74315	0.56736	2.18969	3.78814	1.8586	0.26101
4046.50761	0.48714	1.03673	1.62072	0.9618	2.7431	0.56768	2.18689	3.78878	1.85975	0.25735
4044.57886	0.4925	1.04232	1.62906	0.96431	2.74944	0.56873	2.19101	3.79978	1.86769	0.25559
4042.65012	0.49798	1.04852	1.6423	0.97147	2.76383	0.57196	2.20242	3.82234	1.87759	0.25949
