Lambda	        A	     B	     C	    D	     E	      F	      G	     H	      I	      J
1411.84155	0.56125	0.99817	1.7851	0.91526	4.08253	0.71135	3.382	6.14833	2.27327	0.19036
1409.9128	0.5621	0.9919	1.77992	0.91176	4.07422	0.70922	3.36876	6.13813	2.26119	0.1943
1407.98406	0.56427	0.99382	1.78342	0.91126	4.08279	0.71214	3.37388	6.15211	2.26567	0.19964
1406.05531	0.56727	0.99653	1.78999	0.90827	4.09702	0.71804	3.38389	6.17905	2.27751	0.19998
1404.12657	0.57086	0.99372	1.78851	0.90513	4.10285	0.71965	3.38807	6.20087	2.28419	0.19584
1402.19782	0.57274	0.99068	1.7822	0.90764	4.1044	0.7168	3.38662	6.19412	2.28664	0.1928
1400.26908	0.57288	0.99199	1.77752	0.9121	4.10404	0.71106	3.38169	6.17106	2.28638	0.19147
1398.34033	0.57013	0.99033	1.7674	0.91083	4.08589	0.70195	3.36468	6.13967	2.2731	0.19007
1396.41159	0.56442	0.98124	1.75051	0.90244	4.05246	0.69614	3.33492	6.10012	2.25124	0.18764
1394.48284	0.56042	0.97345	1.73878	0.89483	4.03866	0.69842	3.32218	6.09732	2.24463	0.18533
1392.5541	0.56162	0.97347	1.74306	0.89593	4.06481	0.70631	3.34156	6.14371	2.25884	0.18628
1390.62535	0.56606	0.97742	1.75842	0.90087	4.10701	0.71571	3.36568	6.1874	2.27765	0.18985
1388.6966	0.56672	0.97887	1.76799	0.90126	4.13463	0.72162	3.3741	6.21437	2.2895	0.19207
1386.76786	0.55981	0.97627	1.76496	0.90012	4.14615	0.72106	3.37609	6.25658	2.29794	0.19072
1384.83911	0.55381	0.97165	1.7601	0.90261	4.15184	0.71645	3.37973	6.29319	2.30412	0.18723
1382.91037	0.55206	0.96687	1.75692	0.90171	4.13968	0.71139	3.37147	6.27176	2.29738	0.18394
1380.98162	0.551	0.96598	1.75298	0.89551	4.10978	0.70829	3.35514	6.21551	2.28201	0.1845
1379.05288	0.55049	0.97085	1.74931	0.89106	4.08566	0.70699	3.34668	6.17011	2.27058	0.18886
1377.12413	0.55165	0.97759	1.74877	0.8911	4.08489	0.70781	3.34702	6.14881	2.26695	0.18961
1375.19539	0.55509	0.98134	1.75452	0.8944	4.10339	0.71235	3.35373	6.15766	2.27213	0.18185
1373.26664	0.55702	0.98169	1.7635	0.89883	4.1208	0.71653	3.36488	6.18464	2.28202	0.17307
1371.3379	0.55572	0.98155	1.76556	0.89705	4.11829	0.71678	3.36132	6.18004	2.28297	0.17308
1369.40915	0.55628	0.98263	1.76218	0.89145	4.10911	0.71878	3.34946	6.16074	2.27912	0.17806
1367.48041	0.55873	0.98451	1.76195	0.89117	4.11486	0.72354	3.35155	6.16873	2.28235	0.18291
1365.55166	0.56029	0.98439	1.76011	0.89229	4.11971	0.72235	3.34873	6.16728	2.28343	0.1875
1363.62292	0.56126	0.98386	1.75394	0.8909	4.11238	0.71477	3.3331	6.15188	2.28204	0.18973
1361.69417	0.56144	0.98852	1.75595	0.89473	4.12198	0.70997	3.33942	6.18234	2.29641	0.18772
1359.76543	0.55937	0.99263	1.75908	0.89861	4.14026	0.70814	3.35467	6.21825	2.31033	0.18642
1357.83668	0.55391	0.98686	1.74723	0.89246	4.13663	0.70525	3.34426	6.20522	2.30629	0.18693
1355.90794	0.54698	0.97478	1.72804	0.88393	4.12316	0.70259	3.32189	6.18072	2.30065	0.18418
1353.97919	0.54493	0.96349	1.71099	0.87831	4.10877	0.70124	3.30131	6.16362	2.29879	0.17853
1352.05044	0.5494	0.95572	1.69523	0.86811	4.08696	0.70078	3.27779	6.1335	2.29003	0.17645
1350.1217	0.55371	0.95311	1.68646	0.85727	4.07127	0.69907	3.25943	6.10669	2.27955	0.17918
1348.19295	0.55413	0.95567	1.69124	0.8563	4.07161	0.69516	3.25742	6.10546	2.27644	0.18162
1346.26421	0.55168	0.96146	1.70132	0.85961	4.07424	0.69354	3.26371	6.10817	2.27493	0.18237
1344.33546	0.5477	0.96639	1.70468	0.86043	4.07102	0.69744	3.26195	6.08834	2.269	0.18369
1342.40672	0.54589	0.9667	1.69819	0.8611	4.05822	0.70008	3.24338	6.03896	2.25773	0.18435
1340.47797	0.5487	0.96578	1.6897	0.86326	4.03499	0.69509	3.2203	5.98506	2.2441	0.18306
1338.54923	0.55377	0.97122	1.69498	0.86773	4.0298	0.69153	3.22411	5.98795	2.24438	0.18194
1336.62048	0.5581	0.98144	1.71183	0.87291	4.05418	0.69676	3.2519	6.04054	2.26204	0.1825
1334.69174	0.5622	0.98819	1.72271	0.87677	4.07251	0.7027	3.26996	6.07017	2.27635	0.18248
1332.76299	0.56721	0.99027	1.72671	0.87931	4.07271	0.7055	3.27434	6.06811	2.28005	0.18044
1330.83425	0.56939	0.99085	1.72966	0.87846	4.06727	0.70529	3.27366	6.06037	2.27784	0.18136
1328.9055	0.56662	0.99563	1.73233	0.87559	4.06453	0.70206	3.27238	6.05714	2.27557	0.18777
1326.97676	0.56438	1.00629	1.73452	0.87495	4.0661	0.69829	3.27408	6.05715	2.27669	0.1921
1325.04801	0.56614	1.01223	1.73444	0.87568	4.06405	0.69474	3.27077	6.04724	2.27453	0.19167
1323.11927	0.57117	1.0105	1.73641	0.8763	4.06153	0.69406	3.26459	6.03158	2.27037	0.19184
1321.19052	0.57707	1.01029	1.74215	0.87674	4.06402	0.6985	3.26392	6.02059	2.27112	0.19141
1319.26177	0.57938	1.01397	1.74401	0.87754	4.062	0.70293	3.26106	6.00912	2.27234	0.18766
1317.33303	0.5798	1.02029	1.74751	0.88188	4.0615	0.70495	3.25941	6.01105	2.27756	0.18526
1315.40428	0.58219	1.03058	1.75789	0.88929	4.07137	0.70828	3.26923	6.0346	2.29044	0.18585
1313.47554	0.58332	1.04261	1.7642	0.89373	4.08182	0.71271	3.28074	6.05759	2.29839	0.18751
1311.54679	0.58187	1.05352	1.76672	0.89303	4.09433	0.71524	3.28615	6.0716	2.29915	0.19146
1309.61805	0.58011	1.06373	1.77329	0.89126	4.1149	0.71564	3.29161	6.08575	2.30135	0.19499
1307.6893	0.58096	1.07076	1.78126	0.89007	4.13033	0.71578	3.29828	6.09677	2.30379	0.19282
1305.76056	0.58676	1.07545	1.79125	0.89038	4.13628	0.71716	3.30552	6.1018	2.30504	0.18797
1303.83181	0.5932	1.08257	1.80545	0.89447	4.14767	0.7206	3.31549	6.11138	2.31093	0.18742
1301.90307	0.59742	1.08759	1.81577	0.90051	4.16272	0.72539	3.3226	6.12581	2.3214	0.19042
1299.97432	0.60317	1.08662	1.81614	0.90615	4.16732	0.72708	3.3218	6.1324	2.32796	0.191
1298.04558	0.6094	1.08642	1.81372	0.9108	4.1678	0.72406	3.3218	6.13658	2.3292	0.18862
1296.11683	0.61071	1.09432	1.82127	0.91361	4.184	0.72396	3.33674	6.16073	2.33334	0.18744
1294.18809	0.60928	1.11076	1.83856	0.91678	4.21775	0.73084	3.36364	6.20414	2.34414	0.19
1292.25934	0.61144	1.12548	1.8518	0.92216	4.24481	0.73771	3.38148	6.23627	2.35478	0.19521
1290.3306	0.61556	1.12809	1.85717	0.92665	4.24968	0.7383	3.38057	6.23953	2.35686	0.19861
1288.40185	0.6183	1.12274	1.8583	0.92613	4.24134	0.73355	3.36747	6.22295	2.34878	0.19778
1286.4731	0.62204	1.11977	1.85397	0.92232	4.23256	0.73018	3.35191	6.20103	2.33667	0.19544
1284.54436	0.62686	1.1269	1.85364	0.92347	4.24363	0.73513	3.35144	6.20542	2.33592	0.19401
1282.61561	0.62855	1.14118	1.86547	0.93151	4.27748	0.74321	3.37165	6.24552	2.34674	0.19241
1280.68687	0.62742	1.14712	1.87655	0.9377	4.30168	0.74424	3.39164	6.27168	2.34689	0.18974
1278.75812	0.62856	1.1443	1.88035	0.93735	4.31029	0.744	3.40305	6.2665	2.33542	0.18853
1276.82938	0.63375	1.14892	1.88888	0.93646	4.33011	0.75079	3.42068	6.26909	2.32919	0.19036
1274.90063	0.64156	1.16261	1.90708	0.94391	4.36739	0.7597	3.4489	6.30058	2.33117	0.19477
1272.97189	0.64609	1.17262	1.92231	0.95557	4.39853	0.76507	3.46977	6.3354	2.33264	0.19878
1271.04314	0.64394	1.17328	1.92423	0.95698	4.40102	0.76437	3.46629	6.3355	2.3261	0.19621
1269.1144	0.64406	1.17058	1.9202	0.95172	4.38811	0.75957	3.45052	6.318	2.32175	0.18999
1267.18565	0.64863	1.16718	1.91302	0.95016	4.37366	0.75561	3.43731	6.31036	2.32563	0.18892
1265.25691	0.64944	1.16451	1.90021	0.94617	4.35704	0.75325	3.42576	6.30711	2.33092	0.19119
1263.32816	0.64831	1.17033	1.89143	0.93843	4.35682	0.75345	3.42048	6.3224	2.34286	0.19256
1261.39942	0.65259	1.18672	1.896	0.93829	4.39023	0.75837	3.43335	6.38591	2.36795	0.19582
1259.47067	0.66063	1.20451	1.9117	0.94661	4.44347	0.76619	3.46322	6.48858	2.40207	0.20263
1257.54193	0.6671	1.21189	1.92598	0.95161	4.47994	0.77211	3.48779	6.56759	2.43266	0.21029
1255.61318	0.67162	1.20964	1.93022	0.95047	4.48141	0.7738	3.49674	6.58463	2.44853	0.21459
1253.68444	0.67144	1.20705	1.92619	0.94928	4.4583	0.77151	3.49381	6.55642	2.45082	0.21234
1251.75569	0.66157	1.2036	1.91515	0.94689	4.41574	0.76485	3.47119	6.49602	2.44043	0.20532
1249.82694	0.64659	1.1971	1.90292	0.94156	4.36313	0.75628	3.43373	6.42311	2.4189	0.19842
1247.8982	0.63899	1.19386	1.89983	0.94035	4.32935	0.75139	3.40625	6.37597	2.40114	0.19552
1245.96945	0.64318	1.1953	1.90257	0.94438	4.32308	0.75101	3.39842	6.36308	2.39803	0.19682
1244.04071	0.64806	1.19375	1.89856	0.94446	4.31923	0.75114	3.39593	6.36047	2.40152	0.19789
1242.11196	0.64675	1.18759	1.8908	0.9395	4.30608	0.75118	3.38994	6.35693	2.40421	0.19713
1240.18322	0.64642	1.18431	1.8907	0.93697	4.29862	0.75094	3.38745	6.35818	2.40921	0.19687
1238.25447	0.64957	1.18828	1.89649	0.94017	4.31059	0.74992	3.3962	6.37553	2.41857	0.19733
1236.32573	0.65318	1.19856	1.90373	0.94765	4.33961	0.75217	3.41706	6.41678	2.43128	0.19619
1234.39698	0.65736	1.21054	1.91257	0.95578	4.36355	0.75634	3.43659	6.46143	2.44344	0.19325
1232.46824	0.65965	1.21482	1.91765	0.95918	4.3615	0.75615	3.43635	6.47431	2.44653	0.19567
1230.53949	0.65672	1.20836	1.91135	0.95139	4.3373	0.75275	3.41395	6.4429	2.43387	0.20593
1228.61075	0.65006	1.20194	1.89776	0.93626	4.31065	0.74914	3.38662	6.39541	2.41186	0.21403
1226.682	0.64439	1.20486	1.89198	0.93096	4.29584	0.74743	3.37517	6.37765	2.39623	0.2143
1224.75326	0.64604	1.21437	1.89975	0.9401	4.29587	0.75049	3.38255	6.40191	2.39663	0.20924
1222.82451	0.65575	1.22316	1.91365	0.94965	4.31038	0.75579	3.39855	6.44609	2.4126	0.20271
1220.89577	0.6635	1.22688	1.9241	0.95298	4.32798	0.75843	3.41052	6.48324	2.43144	0.20013
1218.96702	0.66134	1.2243	1.92187	0.9523	4.32596	0.75656	3.40566	6.48694	2.4339	0.20286
1217.03827	0.65563	1.21864	1.91336	0.94655	4.30695	0.7528	3.39141	6.46076	2.42076	0.20507
1215.10953	0.65424	1.21588	1.91343	0.93915	4.3002	0.75277	3.38751	6.44791	2.41325	0.20301
1213.18078	0.65484	1.21801	1.9183	0.93713	4.31504	0.75714	3.3963	6.46835	2.41924	0.20034
1211.25204	0.65488	1.22177	1.91709	0.93975	4.32732	0.7592	3.4055	6.48669	2.42513	0.20118
1209.32329	0.65592	1.22453	1.91132	0.94259	4.31919	0.75381	3.40557	6.47011	2.42146	0.20299
1207.39455	0.65916	1.22782	1.91343	0.94722	4.31263	0.74904	3.40926	6.45384	2.41655	0.20077
1205.4658	0.66182	1.23164	1.92495	0.95309	4.32103	0.75336	3.42467	6.47059	2.4143	0.19682
1203.53706	0.65941	1.23459	1.93112	0.95306	4.32056	0.75921	3.43	6.48456	2.40669	0.19699
1201.60831	0.657	1.23893	1.93116	0.951	4.31186	0.76205	3.4264	6.48597	2.39937	0.19988
1199.67957	0.66162	1.24708	1.93777	0.9581	4.32702	0.76816	3.44128	6.51951	2.40916	0.2036
1197.75082	0.66938	1.25816	1.95381	0.9707	4.37087	0.77768	3.47279	6.5885	2.43573	0.20901
1195.82208	0.67463	1.26597	1.96839	0.9755	4.4025	0.78418	3.48983	6.62975	2.4543	0.21045
1193.89333	0.67442	1.26581	1.96734	0.96946	4.38535	0.78273	3.47568	6.59886	2.44423	0.20591
1191.96459	0.6682	1.2608	1.95513	0.96231	4.34602	0.77564	3.45422	6.53944	2.42162	0.20335
1190.03584	0.66388	1.25658	1.9488	0.96037	4.33027	0.76994	3.45165	6.51468	2.41285	0.20281
1188.1071	0.66672	1.25531	1.94973	0.95961	4.33205	0.76673	3.45769	6.52342	2.4158	0.19883
1186.17835	0.66903	1.25437	1.94864	0.95913	4.32865	0.76296	3.45553	6.53365	2.41856	0.19596
1184.2496	0.66612	1.25631	1.94885	0.96403	4.33497	0.76191	3.45551	6.55251	2.42406	0.19856
1182.32086	0.66365	1.2636	1.95865	0.97052	4.3605	0.76904	3.46922	6.59681	2.43636	0.2027
1180.39211	0.6671	1.27132	1.97231	0.97214	4.3819	0.78263	3.48742	6.64165	2.44979	0.20693
1178.46337	0.67463	1.27688	1.97563	0.97216	4.38272	0.79265	3.49547	6.65111	2.45423	0.21181
1176.53462	0.67926	1.27894	1.97041	0.97212	4.37345	0.79172	3.49285	6.63082	2.45054	0.21519
1174.60588	0.67963	1.27909	1.96891	0.97038	4.37394	0.78656	3.49324	6.62083	2.4513	0.21537
1172.67713	0.67905	1.28229	1.96573	0.97058	4.38243	0.78586	3.49771	6.63075	2.4567	0.21158
1170.74839	0.67799	1.2856	1.95354	0.9726	4.38062	0.7878	3.49603	6.63512	2.45967	0.20427
1168.81964	0.67539	1.27884	1.93783	0.96827	4.35596	0.78716	3.48456	6.61204	2.45628	0.19633
1166.8909	0.67333	1.26729	1.92977	0.95996	4.32859	0.78553	3.47359	6.58113	2.44833	0.19344
1164.96215	0.67645	1.27114	1.94084	0.96145	4.34479	0.78808	3.48605	6.60295	2.45224	0.19963
1163.03341	0.68218	1.28833	1.96244	0.97068	4.39772	0.79055	3.5188	6.67278	2.47288	0.21074
1161.10466	0.68374	1.30132	1.97863	0.97508	4.43823	0.79045	3.54502	6.72708	2.4954	0.21889
1159.17592	0.68244	1.30559	1.98589	0.97613	4.4441	0.79259	3.54935	6.74113	2.50583	0.22085
1157.24717	0.68151	1.3033	1.98017	0.9786	4.41819	0.79097	3.5312	6.71866	2.49788	0.21785
1155.31843	0.68181	1.30263	1.97271	0.98123	4.39902	0.78517	3.51996	6.70131	2.48961	0.21436
1153.38968	0.68465	1.31192	1.98458	0.98729	4.42427	0.78735	3.54156	6.73554	2.50253	0.21624
1151.46093	0.68717	1.32452	2.00689	0.9969	4.46695	0.79582	3.57344	6.79504	2.52569	0.22232
1149.53219	0.68741	1.32812	2.01914	1.00093	4.4888	0.8023	3.59196	6.83938	2.54227	0.22375
1147.60344	0.68835	1.32045	2.02069	0.99769	4.49088	0.80523	3.60196	6.86133	2.54877	0.21851
1145.6747	0.68766	1.30989	2.01373	0.99311	4.47916	0.80322	3.60226	6.8541	2.54159	0.21237
1143.74595	0.68376	1.30662	2.00061	0.98758	4.46129	0.80101	3.58889	6.82749	2.52808	0.20554
1141.81721	0.68037	1.30777	1.9895	0.98115	4.44864	0.80331	3.57122	6.80154	2.51928	0.19938
1139.88846	0.6794	1.30755	1.98893	0.98199	4.45216	0.80734	3.56958	6.80347	2.51947	0.20044
1137.95972	0.68173	1.31	2.00126	0.9926	4.47648	0.81074	3.59063	6.84831	2.53109	0.20624
1136.03097	0.68483	1.3083	2.00994	0.99838	4.49123	0.80902	3.60285	6.87715	2.53658	0.21011
1134.10223	0.68521	1.29955	2.00302	0.99326	4.48504	0.80452	3.59627	6.86273	2.52449	0.21041
1132.17348	0.68393	1.30179	1.99704	0.99003	4.49615	0.80674	3.60424	6.87169	2.51564	0.20782
1130.24474	0.68622	1.31714	2.00877	0.99466	4.53253	0.81347	3.63369	6.92666	2.52241	0.20683
1128.31599	0.69271	1.32654	2.02801	1.00034	4.56239	0.82039	3.66202	6.97741	2.53687	0.20998
1126.38725	0.69208	1.32007	2.03106	1.00012	4.5663	0.82887	3.66961	6.98047	2.54536	0.21347
1124.4585	0.68618	1.30874	2.02094	0.99775	4.5585	0.836	3.66137	6.96326	2.5456	0.2134
1122.52976	0.69057	1.3082	2.01905	0.99977	4.55733	0.83858	3.66166	6.98067	2.54999	0.20972
1120.60101	0.70213	1.32345	2.02706	1.00431	4.56464	0.83703	3.67552	7.03056	2.56317	0.20759
1118.67227	0.70748	1.34713	2.03698	1.01149	4.58485	0.83386	3.69481	7.08745	2.58227	0.21061
1116.74352	0.7025	1.3592	2.04295	1.02297	4.60107	0.83245	3.70845	7.1181	2.59437	0.21226
1114.81477	0.69333	1.3519	2.03813	1.0283	4.58187	0.83184	3.7007	7.09304	2.58562	0.20997
1112.88603	0.69008	1.34324	2.02718	1.01954	4.54004	0.82627	3.67889	7.04504	2.56788	0.21335
1110.95728	0.69428	1.34339	2.01601	1.00675	4.50382	0.81651	3.65833	7.00946	2.55351	0.22183
1109.02854	0.70099	1.34764	2.00773	0.99953	4.48478	0.81252	3.64488	6.9905	2.54254	0.22551
1107.09979	0.70776	1.35497	2.01465	0.99883	4.49525	0.81692	3.64982	7.00301	2.54009	0.22561
1105.17105	0.71142	1.36398	2.03385	1.00495	4.53185	0.82104	3.6711	7.04564	2.54956	0.22598
1103.2423	0.70985	1.37385	2.05037	1.0142	4.57323	0.82202	3.69682	7.10253	2.5729	0.2232
1101.31356	0.70575	1.38629	2.05954	1.01763	4.59248	0.82633	3.71623	7.1455	2.59721	0.214
1099.38481	0.70321	1.39278	2.05249	1.00692	4.5678	0.83444	3.70418	7.12705	2.59254	0.20678
1097.45607	0.71231	1.39441	2.03994	0.99251	4.53914	0.84001	3.67726	7.09264	2.57676	0.21205
1095.52732	0.73471	1.40932	2.05358	0.99724	4.57025	0.84184	3.69415	7.13632	2.59484	0.2227
1093.59858	0.74824	1.42764	2.07968	1.01486	4.62266	0.83925	3.73607	7.19875	2.62562	0.22711
1091.66983	0.73933	1.41952	2.07508	1.01819	4.60301	0.82909	3.72702	7.15709	2.61765	0.22491
1089.74109	0.72307	1.39271	2.04642	1.00979	4.53242	0.81744	3.67706	7.0514	2.5777	0.22309
1087.81234	0.71587	1.37917	2.03133	1.01183	4.50202	0.81599	3.65222	6.99833	2.54811	0.22624
1085.8836	0.72179	1.38997	2.04358	1.02154	4.5331	0.82494	3.67133	7.03614	2.55038	0.23078
1083.95485	0.73426	1.40879	2.06874	1.01902	4.58315	0.83268	3.70529	7.11377	2.56941	0.23118
1082.0261	0.74432	1.41715	2.08602	1.00702	4.61225	0.83737	3.71879	7.15372	2.58014	0.22804
1080.09736	0.75199	1.42275	2.09351	1.00689	4.62339	0.84639	3.7158	7.15398	2.58363	0.22777
1078.16861	0.75839	1.4379	2.09905	1.01991	4.63771	0.85411	3.7202	7.16015	2.59093	0.23102
1076.23987	0.76275	1.45268	2.10706	1.03022	4.65405	0.85547	3.72834	7.17818	2.59759	0.2313
1074.31112	0.76771	1.45683	2.11763	1.03134	4.66121	0.85391	3.72697	7.18513	2.59828	0.22762
1072.38238	0.77257	1.45875	2.12586	1.02978	4.66245	0.84742	3.72272	7.17983	2.60208	0.22384
1070.45363	0.77698	1.47263	2.1386	1.03808	4.68406	0.84193	3.73641	7.19951	2.61781	0.22179
1068.52489	0.78458	1.49623	2.16102	1.05663	4.7281	0.84745	3.76881	7.25197	2.63906	0.22427
1066.59614	0.79085	1.51099	2.17625	1.06729	4.74563	0.85611	3.78954	7.28752	2.65165	0.2336
1064.6674	0.78535	1.50449	2.17234	1.06031	4.71427	0.85379	3.77751	7.27008	2.64326	0.24064
1062.73865	0.77226	1.48267	2.15728	1.04709	4.66984	0.84274	3.74856	7.21374	2.61688	0.23578
1060.80991	0.76766	1.46391	2.14176	1.04073	4.64061	0.84025	3.72614	7.15577	2.59418	0.22751
1058.88116	0.77762	1.46441	2.13773	1.04499	4.63828	0.85261	3.72186	7.13826	2.59198	0.22767
1056.95242	0.7935	1.48156	2.15414	1.06105	4.67608	0.86756	3.74502	7.18752	2.60799	0.23514
1055.02367	0.80113	1.49693	2.17642	1.08095	4.72862	0.87656	3.78192	7.26867	2.629	0.2418
1053.09493	0.79873	1.50375	2.18592	1.08573	4.75202	0.88026	3.80195	7.31704	2.6448	0.2418
1051.16618	0.7965	1.50924	2.18757	1.07434	4.75135	0.88052	3.7998	7.32094	2.65252	0.23337
1049.23743	0.79244	1.51127	2.1863	1.06273	4.74645	0.87756	3.78535	7.30376	2.64971	0.22206
1047.30869	0.78399	1.5056	2.17549	1.05521	4.73013	0.87078	3.7628	7.27158	2.63388	0.21677
1045.37994	0.78386	1.50278	2.1609	1.04884	4.71032	0.86362	3.74501	7.23961	2.61563	0.21734
1043.4512	0.7983	1.51449	2.16096	1.04873	4.7243	0.86177	3.75694	7.25146	2.61852	0.22157
1041.52245	0.81157	1.52886	2.17525	1.05476	4.76186	0.86468	3.78824	7.29265	2.63673	0.22741
1039.59371	0.80619	1.5288	2.18739	1.05544	4.77181	0.86497	3.7994	7.30379	2.64145	0.22759
1037.66496	0.79341	1.52892	2.20113	1.05546	4.77497	0.86341	3.80538	7.32134	2.6489	0.22413
1035.73622	0.79823	1.54685	2.23008	1.06851	4.82386	0.87103	3.84818	7.41201	2.68722	0.2245
1033.80747	0.82039	1.56837	2.26171	1.08434	4.89047	0.88732	3.90878	7.52702	2.73072	0.22538
1031.87873	0.83355	1.5717	2.26599	1.08684	4.90527	0.89527	3.92761	7.55808	2.74051	0.22036
1029.94998	0.8253	1.55849	2.2423	1.08002	4.86537	0.88721	3.89512	7.49478	2.7211	0.21473
1028.02124	0.81229	1.54935	2.22421	1.07229	4.83229	0.87798	3.86296	7.43681	2.69954	0.21581
1026.09249	0.80777	1.55367	2.23097	1.06726	4.83921	0.88051	3.86532	7.44969	2.69137	0.21596
1024.16375	0.80921	1.56056	2.25089	1.07125	4.86782	0.89041	3.89103	7.50999	2.70154	0.21165
1022.235	0.81723	1.56543	2.26988	1.08553	4.8963	0.90056	3.92117	7.57878	2.72476	0.21586
1020.30626	0.83038	1.5722	2.2875	1.0991	4.9157	0.90657	3.94741	7.63677	2.74796	0.22944
1018.37751	0.83283	1.57314	2.29296	1.10238	4.90973	0.90286	3.9508	7.64963	2.75335	0.23594
1016.44877	0.82415	1.56419	2.27531	1.09822	4.87676	0.89374	3.92329	7.60625	2.73391	0.23095
1014.52002	0.81999	1.55347	2.25333	1.09405	4.84268	0.88919	3.8939	7.55206	2.70691	0.22671
1012.59127	0.81993	1.54486	2.2402	1.09032	4.82038	0.88789	3.8813	7.51205	2.68361	0.22676
1010.66253	0.82155	1.54308	2.2356	1.0856	4.81806	0.89017	3.8884	7.49936	2.6725	0.22604
1008.73378	0.82164	1.54479	2.23668	1.07805	4.82177	0.89625	3.89652	7.4999	2.67553	0.22698
1006.80504	0.81411	1.538	2.22813	1.06328	4.79712	0.894	3.86957	7.45757	2.67164	0.22867
1004.87629	0.81272	1.53486	2.22031	1.0529	4.78295	0.88804	3.84278	7.4248	2.66938	0.22665
1002.94755	0.82178	1.54389	2.22926	1.05799	4.81119	0.89221	3.8568	7.45882	2.68415	0.22256
1001.0188	0.82473	1.54915	2.23901	1.06467	4.83336	0.89683	3.87662	7.4869	2.69845	0.21859
999.09006	0.82334	1.54878	2.24331	1.06487	4.83619	0.89316	3.88262	7.48051	2.70585	0.2181
997.16131	0.82642	1.54627	2.24228	1.06522	4.83503	0.8925	3.87731	7.46478	2.70478	0.22013
995.23257	0.8281	1.54294	2.23484	1.06601	4.83169	0.902	3.8635	7.45199	2.69893	0.2197
993.30382	0.82666	1.54752	2.23631	1.06763	4.84048	0.90997	3.86517	7.46858	2.70581	0.21793
991.37508	0.82536	1.54982	2.24179	1.0719	4.84525	0.90313	3.87089	7.47904	2.71151	0.21681
989.44633	0.82432	1.54153	2.23461	1.07399	4.83158	0.89072	3.8581	7.44888	2.70148	0.2179
987.51759	0.82659	1.53939	2.22677	1.06987	4.83166	0.89066	3.85284	7.43456	2.69935	0.22364
985.58884	0.83036	1.54484	2.2292	1.0633	4.85064	0.89867	3.867	7.45481	2.71192	0.23014
983.6601	0.82909	1.54467	2.23293	1.05877	4.86451	0.90084	3.87984	7.46976	2.72174	0.23009
981.73135	0.82722	1.54067	2.23326	1.05551	4.87303	0.89779	3.88581	7.47203	2.72527	0.22363
979.8026	0.83055	1.53942	2.2347	1.05089	4.87886	0.89373	3.88728	7.46875	2.72739	0.218
977.87386	0.83588	1.54634	2.24249	1.04856	4.88681	0.89097	3.89285	7.48137	2.73752	0.2199
975.94511	0.84187	1.56112	2.25512	1.05598	4.90553	0.89595	3.91175	7.52992	2.75586	0.22729
974.01637	0.85087	1.57392	2.26639	1.06981	4.92425	0.90917	3.93192	7.5829	2.76957	0.22807
972.08762	0.85956	1.58562	2.27659	1.07993	4.94447	0.92258	3.95001	7.62146	2.78505	0.2223
970.15888	0.85932	1.59616	2.2862	1.08448	4.97395	0.92762	3.96671	7.65667	2.8058	0.22334
968.23013	0.85231	1.59356	2.29033	1.08801	4.99656	0.92205	3.96999	7.68229	2.81585	0.22803
966.30139	0.85104	1.58095	2.28396	1.08954	4.99435	0.91467	3.96277	7.68455	2.80877	0.22553
964.37264	0.8545	1.57217	2.26684	1.08291	4.95669	0.91447	3.94405	7.64358	2.78621	0.2195
962.4439	0.84851	1.56649	2.24486	1.07153	4.89786	0.91616	3.90696	7.56111	2.75582	0.21394
960.51515	0.83081	1.55649	2.22805	1.06611	4.8593	0.91136	3.87568	7.48896	2.73145	0.20816
958.58641	0.81891	1.55063	2.23067	1.06938	4.8709	0.90744	3.88424	7.49049	2.72645	0.20766
956.65766	0.82317	1.55703	2.24956	1.0736	4.91772	0.91291	3.92275	7.55887	2.74507	0.21452
954.72892	0.83056	1.56662	2.26022	1.07151	4.95012	0.91849	3.9477	7.61476	2.76735	0.21923
952.80017	0.83127	1.57315	2.25715	1.06702	4.94802	0.91506	3.94708	7.62611	2.77354	0.21587
950.87143	0.8313	1.57405	2.25485	1.06722	4.93455	0.90674	3.94082	7.62498	2.77082	0.21001
948.94268	0.83473	1.56913	2.25703	1.06986	4.93212	0.90102	3.94233	7.63171	2.76943	0.20575
947.01393	0.83645	1.56614	2.26099	1.07	4.94403	0.90553	3.95397	7.64897	2.7703	0.20312
945.08519	0.83434	1.5649	2.26668	1.06898	4.95615	0.92119	3.96673	7.66718	2.77427	0.20585
943.15644	0.83801	1.55874	2.26968	1.06562	4.95457	0.9358	3.96862	7.6713	2.77792	0.2137
941.2277	0.84728	1.55067	2.26954	1.0608	4.94349	0.9364	3.95795	7.66546	2.77908	0.21915
939.29895	0.84662	1.54962	2.27258	1.06223	4.93883	0.92532	3.9451	7.6665	2.78174	0.22129
937.37021	0.83613	1.55434	2.27316	1.0638	4.9384	0.91489	3.94036	7.6708	2.7824	0.22514
935.44146	0.83039	1.55062	2.26152	1.05621	4.92179	0.90742	3.9329	7.65341	2.77033	0.22866
933.51272	0.83316	1.52948	2.24289	1.04589	4.88937	0.89832	3.90565	7.60294	2.745	0.22415
931.58397	0.83886	1.50844	2.22921	1.04027	4.86838	0.89247	3.87878	7.5549	2.72834	0.21238
